datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-14-25,63.7,29.5,1174136.0,409779.0,309005.0,0.0,20365.0,1073.0,13.0,0.981062,10.22569,42.49821,74.98925,59.51454,73.54039,74.98925
05-04-2026-00-14-26,63.6,29.5,1164890.0,405216.0,315640.0,0.0,20440.0,1090.0,15.0,0.973336,10.11503,43.08049,76.00084,60.15999,74.40446,76.00084
05-04-2026-00-14-27,63.6,29.5,1158116.0,401220.0,315993.0,0.0,19532.0,1028.0,15.0,0.967675,10.01921,43.02157,74.42822,59.34199,72.78026,74.42822
05-04-2026-00-14-28,63.7,29.5,1152784.0,397535.0,313875.0,0.0,18431.0,949.0,15.0,0.963221,9.931627,42.71283,72.18949,58.11332,70.5194,72.18949
05-04-2026-00-14-29,63.7,29.5,1141048.0,391240.0,305845.0,0.0,17686.0,877.0,11.0,0.953415,9.779792,41.72233,69.15635,56.50039,67.96191,69.15635
05-04-2026-00-14-30,63.6,29.5,1132056.0,383967.0,292522.0,0.0,17534.0,824.0,6.0,0.945901,9.608207,40.15928,66.27998,54.81028,65.58321,66.27998
05-04-2026-00-14-31,63.6,29.5,1123758.0,377373.0,275676.0,0.0,16646.0,686.0,3.0,0.938968,9.452511,38.24419,61.51281,52.15343,61.11473,61.51281
05-04-2026-00-14-32,63.7,29.5,1117949.0,373260.0,262600.0,0.0,15353.0,526.0,2.0,0.934114,9.354861,36.78088,56.70891,49.60931,56.48779,56.70891
05-04-2026-00-14-33,63.7,29.5,1117527.0,374365.0,257951.0,0.0,14279.0,400.0,1.0,0.933761,9.37945,36.31993,53.6368,48.25143,53.47831,53.6368
05-04-2026-00-14-34,63.6,29.5,1120091.0,376117.0,255129.0,0.0,13457.0,303.0,1.0,0.935904,9.421105,36.06688,51.39139,47.3112,51.28083,51.39139
05-04-2026-00-14-35,63.6,29.5,1126177.0,379966.0,261423.0,0.0,13826.0,258.0,0.0,0.940989,9.513022,36.81612,51.81309,48.36933,51.73938,51.81309
